0.102	-0.000790185	-0.00167043	-0.0116595	0.396433	0.706471	1.32677	0.397223	0.708141	1.33843
0.104	-0.000775692	-0.00170774	-0.0118389	0.396487	0.706473	1.32679	0.397262	0.70818	1.33863
0.106	-0.000759706	-0.00174527	-0.0120157	0.396542	0.706474	1.32681	0.397302	0.708219	1.33882
0.108	-0.000742218	-0.00178301	-0.0121899	0.396598	0.706475	1.32683	0.397341	0.708258	1.33902
0.11	-0.000723218	-0.00182096	-0.0123615	0.396656	0.706477	1.32685	0.39738	0.708298	1.33921
0.112	-0.000702695	-0.00185912	-0.0125304	0.396716	0.706477	1.32688	0.397419	0.708337	1.33941
0.114	-0.000680643	-0.00189748	-0.0126967	0.396777	0.706478	1.32691	0.397458	0.708376	1.3396
0.116	-0.000657054	-0.00193603	-0.0128602	0.39684	0.706478	1.32694	0.397497	0.708414	1.3398
0.118	-0.000631921	-0.00197479	-0.0130211	0.396904	0.706479	1.32697	0.397536	0.708453	1.33999
0.12	-0.000605239	-0.00201373	-0.0131793	0.396969	0.706479	1.32701	0.397574	0.708492	1.34019
0.122	-0.000577002	-0.00205287	-0.0133348	0.397036	0.706478	1.32705	0.397613	0.708531	1.34038
0.124	-0.000547208	-0.00209219	-0.0134875	0.397105	0.706478	1.32709	0.397652	0.70857	1.34057
0.126	-0.000515852	-0.00213169	-0.0136374	0.397175	0.706477	1.32713	0.397691	0.708609	1.34077
0.128	-0.000482933	-0.00217137	-0.0137847	0.397247	0.706476	1.32718	0.39773	0.708647	1.34096
0.13	-0.000448449	-0.00221122	-0.0139291	0.39732	0.706475	1.32723	0.397768	0.708686	1.34116
0.132	-0.0004124	-0.00225124	-0.0140707	0.397394	0.706473	1.32728	0.397807	0.708725	1.34135
0.134	-0.000374785	-0.00229143	-0.0142096	0.397471	0.706472	1.32733	0.397845	0.708763	1.34154
0.136	-0.000335605	-0.00233177	-0.0143456	0.397548	0.70647	1.32739	0.397884	0.708802	1.34173
0.138	-0.000294863	-0.00237227	-0.0144788	0.397628	0.706468	1.32745	0.397923	0.70884	1.34193
0.14	-0.000252561	-0.00241292	-0.0146092	0.397708	0.706466	1.32751	0.397961	0.708879	1.34212
0.142	-0.000208701	-0.00245371	-0.0147368	0.397791	0.706463	1.32757	0.397999	0.708917	1.34231
0.144	-0.000163289	-0.00249465	-0.0148615	0.397874	0.706461	1.32764	0.398038	0.708956	1.3425
0.146	-0.000116328	-0.00253572	-0.0149834	0.39796	0.706458	1.32771	0.398076	0.708994	1.3427
0.148	-6.78255e-05	-0.00257691	-0.0151024	0.398047	0.706455	1.32778	0.398114	0.709032	1.34289
0.15	-1.77867e-05	-0.00261823	-0.0152186	0.398135	0.706452	1.32786	0.398153	0.70907	1.34308
0.152	3.37812e-05	-0.00265967	-0.0153319	0.398225	0.706449	1.32794	0.398191	0.709109	1.34327
0.154	8.68702e-05	-0.00270122	-0.0154423	0.398316	0.706446	1.32802	0.398229	0.709147	1.34346
0.156	0.000141472	-0.00274287	-0.0155499	0.398409	0.706442	1.3281	0.398267	0.709185	1.34365
0.158	0.000197577	-0.00278462	-0.0156545	0.398503	0.706438	1.32819	0.398305	0.709223	1.34384
0.16	0.000255175	-0.00282647	-0.0157563	0.398598	0.706434	1.32827	0.398343	0.709261	1.34403
0.162	0.000314256	-0.0028684	-0.0158553	0.398695	0.70643	1.32836	0.398381	0.709299	1.34422
0.164	0.000374808	-0.00291041	-0.0159513	0.398794	0.706426	1.32846	0.398419	0.709337	1.34441
0.166	0.00043682	-0.00295249	-0.0160445	0.398894	0.706422	1.32855	0.398457	0.709375	1.3446
0.168	0.000500278	-0.00299464	-0.0161347	0.398995	0.706418	1.32865	0.398495	0.709412	1.34479
0.17	0.000565169	-0.00303685	-0.0162221	0.399097	0.706413	1.32875	0.398532	0.70945	1.34498
0.172	0.00063148	-0.00307912	-0.0163066	0.399201	0.706409	1.32886	0.39857	0.709488	1.34516
0.174	0.000699195	-0.00312142	-0.0163883	0.399307	0.706404	1.32896	0.398608	0.709525	1.34535
0.176	0.000768299	-0.00316377	-0.016467	0.399413	0.706399	1.32907	0.398645	0.709563	1.34554
0.178	0.000838777	-0.00320614	-0.0165429	0.399521	0.706394	1.32919	0.398683	0.709601	1.34573
0.18	0.000910611	-0.00324854	-0.0166159	0.399631	0.706389	1.3293	0.39872	0.709638	1.34592
0.182	0.000983785	-0.00329095	-0.016686	0.399741	0.706384	1.32942	0.398758	0.709675	1.3461
0.184	0.00105828	-0.00333337	-0.0167532	0.399853	0.706379	1.32954	0.398795	0.709713	1.34629
0.186	0.00113408	-0.00337579	-0.0168176	0.399966	0.706374	1.32966	0.398832	0.70975	1.34648
0.188	0.00121116	-0.0034182	-0.0168791	0.400081	0.706369	1.32978	0.398869	0.709787	1.34666
0.19	0.00128951	-0.00346059	-0.0169378	0.400196	0.706364	1.32991	0.398907	0.709824	1.34685
0.192	0.00136911	-0.00350296	-0.0169936	0.400313	0.706359	1.33004	0.398944	0.709862	1.34703
0.194	0.00144993	-0.0035453	-0.0170466	0.400431	0.706353	1.33017	0.398981	0.709899	1.34722
0.196	0.00153195	-0.00358759	-0.0170968	0.40055	0.706348	1.33031	0.399018	0.709936	1.3474
0.198	0.00161516	-0.00362984	-0.0171441	0.40067	0.706343	1.33044	0.399055	0.709973	1.34759
0.2	0.00169952	-0.00367202	-0.0171886	0.400791	0.706337	1.33058	0.399092	0.710009	1.34777
0.202	0.00178503	-0.00371414	-0.0172303	0.400913	0.706332	1.33073	0.399128	0.710046	1.34796
0.204	0.00187165	-0.00375618	-0.0172692	0.401037	0.706327	1.33087	0.399165	0.710083	1.34814
0.206	0.00195936	-0.00379814	-0.0173053	0.401161	0.706322	1.33102	0.399202	0.71012	1.34832
0.208	0.00204813	-0.00384	-0.0173386	0.401287	0.706316	1.33117	0.399238	0.710156	1.34851
0.21	0.00213795	-0.00388176	-0.0173692	0.401413	0.706311	1.33132	0.399275	0.710193	1.34869
0.212	0.00222879	-0.00392341	-0.017397	0.40154	0.706306	1.33148	0.399312	0.710229	1.34887
0.214	0.00232062	-0.00396494	-0.017422	0.401669	0.706301	1.33163	0.399348	0.710266	1.34905
0.216	0.00241342	-0.00400634	-0.0174443	0.401798	0.706296	1.33179	0.399384	0.710302	1.34924
0.218	0.00250716	-0.00404759	-0.0174638	0.401928	0.706291	1.33195	0.399421	0.710338	1.34942
0.22	0.00260182	-0.0040887	-0.0174807	0.402059	0.706286	1.33212	0.399457	0.710375	1.3496
0.222	0.00269736	-0.00412965	-0.0174948	0.40219	0.706281	1.33228	0.399493	0.710411	1.34978
0.224	0.00279376	-0.00417043	-0.0175063	0.402323	0.706276	1.33245	0.399529	0.710447	1.34996
0.226	0.002891	-0.00421103	-0.017515	0.402456	0.706272	1.33262	0.399565	0.710483	1.35014
0.228	0.00298905	-0.00425144	-0.0175211	0.40259	0.706267	1.3328	0.399601	0.710519	1.35032
0.23	0.00308787	-0.00429166	-0.0175246	0.402725	0.706263	1.33297	0.399637	0.710555	1.3505
0.232	0.00318744	-0.00433166	-0.0175254	0.40286	0.706259	1.33315	0.399673	0.710591	1.35068
0.234	0.00328773	-0.00437145	-0.0175236	0.402996	0.706255	1.33333	0.399708	0.710626	1.35086
0.236	0.00338871	-0.00441102	-0.0175192	0.403133	0.706251	1.33352	0.399744	0.710662	1.35104
0.238	0.00349035	-0.00445034	-0.0175122	0.40327	0.706247	1.3337	0.39978	0.710698	1.35121
0.24	0.00359263	-0.00448942	-0.0175026	0.403408	0.706244	1.33389	0.399815	0.710733	1.35139
0.242	0.00369551	-0.00452824	-0.0174905	0.403546	0.70624	1.33408	0.399851	0.710768	1.35157
0.244	0.00379896	-0.00456679	-0.0174758	0.403685	0.706237	1.33427	0.399886	0.710804	1.35174
0.246	0.00390295	-0.00460506	-0.0174586	0.403824	0.706234	1.33446	0.399921	0.710839	1.35192
0.248	0.00400746	-0.00464305	-0.0174388	0.403964	0.706231	1.33466	0.399957	0.710874	1.3521
0.25	0.00411245	-0.00468073	-0.0174166	0.404104	0.706229	1.33486	0.399992	0.710909	1.35227
0.252	0.00421788	-0.00471811	-0.017392	0.404245	0.706226	1.33506	0.400027	0.710945	1.35245
0.254	0.00432374	-0.00475517	-0.0173648	0.404385	0.706224	1.33526	0.400062	0.71098	1.35262
0.256	0.00442998	-0.00479189	-0.0173352	0.404527	0.706223	1.33546	0.400097	0.711014	1.3528
0.258	0.00453658	-0.00482828	-0.0173033	0.404668	0.706221	1.33567	0.400131	0.711049	1.35297
0.26	0.00464351	-0.00486431	-0.0172689	0.40481	0.70622	1.33588	0.400166	0.711084	1.35315
0.262	0.00475072	-0.00489999	-0.0172321	0.404952	0.706219	1.33609	0.400201	0.711119	1.35332
0.264	0.0048582	-0.00493529	-0.017193	0.405094	0.706218	1.3363	0.400235	0.711153	1.35349
0.266	0.00496591	-0.00497021	-0.0171515	0.405236	0.706218	1.33651	0.40027	0.711188	1.35366
0.268	0.00507382	-0.00500473	-0.0171077	0.405378	0.706218	1.33673	0.400304	0.711222	1.35384
0.27	0.00518189	-0.00503885	-0.0170616	0.405521	0.706218	1.33695	0.400339	0.711257	1.35401
0.272	0.0052901	-0.00507256	-0.0170132	0.405663	0.706218	1.33717	0.400373	0.711291	1.35418
0.274	0.00539841	-0.00510584	-0.0169626	0.405806	0.706219	1.33739	0.400407	0.711325	1.35435
0.276	0.00550678	-0.00513869	-0.0169098	0.405948	0.70622	1.33761	0.400441	0.711359	1.35452
0.278	0.00561519	-0.00517109	-0.0168547	0.406091	0.706222	1.33784	0.400475	0.711393	1.35469
0.28	0.00572361	-0.00520303	-0.0167974	0.406233	0.706224	1.33806	0.400509	0.711427	1.35486
0.282	0.005832	-0.00523451	-0.016738	0.406375	0.706226	1.33829	0.400543	0.711461	1.35503
0.284	0.00594033	-0.00526551	-0.0166764	0.406517	0.706229	1.33852	0.400577	0.711495	1.3552
0.286	0.00604856	-0.00529602	-0.0166126	0.406659	0.706232	1.33875	0.400611	0.711528	1.35537
0.288	0.00615667	-0.00532603	-0.0165468	0.406801	0.706236	1.33899	0.400644	0.711562	1.35554
0.29	0.00626463	-0.00535554	-0.0164789	0.406942	0.70624	1.33922	0.400678	0.711595	1.3557
0.292	0.00637239	-0.00538452	-0.0164089	0.407083	0.706244	1.33946	0.400711	0.711629	1.35587
0.294	0.00647993	-0.00541297	-0.0163369	0.407224	0.706249	1.3397	0.400744	0.711662	1.35604
0.296	0.00658722	-0.00544088	-0.0162629	0.407365	0.706255	1.33994	0.400778	0.711695	1.3562
0.298	0.00669422	-0.00546824	-0.0161869	0.407505	0.70626	1.34018	0.400811	0.711729	1.35637
0.3	0.00680091	-0.00549504	-0.0161089	0.407645	0.706267	1.34042	0.400844	0.711762	1.35653
0.302	0.00690724	-0.00552127	-0.0160289	0.407784	0.706273	1.34067	0.400877	0.711795	1.3567
0.304	0.0070132	-0.00554691	-0.0159471	0.407923	0.706281	1.34092	0.40091	0.711827	1.35686
0.306	0.00711874	-0.00557197	-0.0158634	0.408061	0.706288	1.34116	0.400942	0.71186	1.35703
0.308	0.00722383	-0.00559642	-0.0157777	0.408199	0.706297	1.34141	0.400975	0.711893	1.35719
0.31	0.00732845	-0.00562026	-0.0156903	0.408336	0.706305	1.34166	0.401008	0.711926	1.35735
0.312	0.00743257	-0.00564347	-0.015601	0.408473	0.706315	1.34191	0.40104	0.711958	1.35752
0.314	0.00753614	-0.00566605	-0.0155099	0.408609	0.706324	1.34217	0.401073	0.711991	1.35768
0.316	0.00763914	-0.005688	-0.0154171	0.408744	0.706335	1.34242	0.401105	0.712023	1.35784
0.318	0.00774155	-0.00570928	-0.0153225	0.408879	0.706346	1.34268	0.401137	0.712055	1.358
0.32	0.00784332	-0.00572991	-0.0152262	0.409013	0.706357	1.34294	0.401169	0.712087	1.35816
0.322	0.00794444	-0.00574987	-0.0151281	0.409146	0.706369	1.34319	0.401201	0.712119	1.35832
0.324	0.00804486	-0.00576914	-0.0150285	0.409278	0.706382	1.34345	0.401233	0.712151	1.35848
0.326	0.00814456	-0.00578772	-0.0149271	0.40941	0.706395	1.34371	0.401265	0.712183	1.35864
0.328	0.00824351	-0.00580561	-0.0148242	0.40954	0.706409	1.34398	0.401297	0.712215	1.3588
0.33	0.00834168	-0.00582278	-0.0147196	0.40967	0.706424	1.34424	0.401329	0.712246	1.35896
0.332	0.00843904	-0.00583924	-0.0146135	0.409799	0.706439	1.3445	0.40136	0.712278	1.35912
0.334	0.00853556	-0.00585497	-0.0145058	0.409927	0.706454	1.34477	0.401392	0.712309	1.35927
0.336	0.00863121	-0.00586996	-0.0143966	0.410054	0.706471	1.34503	0.401423	0.712341	1.35943
0.338	0.00872596	-0.0058842	-0.014286	0.41018	0.706488	1.3453	0.401454	0.712372	1.35959
0.34	0.0088198	-0.00589769	-0.0141738	0.410305	0.706505	1.34557	0.401485	0.712403	1.35974
0.342	0.00891268	-0.00591042	-0.0140602	0.410429	0.706524	1.34584	0.401516	0.712434	1.3599
0.344	0.00900458	-0.00592238	-0.0139452	0.410552	0.706543	1.34611	0.401547	0.712465	1.36005
0.346	0.00909547	-0.00593356	-0.0138288	0.410674	0.706562	1.34638	0.401578	0.712496	1.36021
0.348	0.00918533	-0.00594394	-0.0137111	0.410794	0.706583	1.34665	0.401609	0.712527	1.36036
0.35	0.00927412	-0.00595353	-0.013592	0.410914	0.706604	1.34692	0.40164	0.712557	1.36051
0.352	0.00936183	-0.00596232	-0.0134716	0.411032	0.706626	1.34719	0.40167	0.712588	1.36067
0.354	0.00944843	-0.0059703	-0.0133499	0.411149	0.706648	1.34747	0.401701	0.712618	1.36082
0.356	0.00953388	-0.00597745	-0.013227	0.411265	0.706671	1.34774	0.401731	0.712649	1.36097
0.358	0.00961817	-0.00598378	-0.0131028	0.411379	0.706695	1.34802	0.401761	0.712679	1.36112
0.36	0.00970127	-0.00598927	-0.0129775	0.411493	0.70672	1.34829	0.401791	0.712709	1.36127
0.362	0.00978316	-0.00599392	-0.0128509	0.411604	0.706745	1.34857	0.401821	0.712739	1.36142
0.364	0.00986381	-0.00599772	-0.0127232	0.411715	0.706771	1.34885	0.401851	0.712769	1.36157
0.366	0.00994319	-0.00600066	-0.0125944	0.411824	0.706798	1.34913	0.401881	0.712799	1.36172
0.368	0.0100213	-0.00600274	-0.0124645	0.411932	0.706826	1.3494	0.401911	0.712829	1.36187
